2014-05-18 18:24:50 Notice: Notice (8): Undefined offset:  1 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 8]
2014-05-18 18:24:50 Notice: Notice (8): Undefined index:  ProgramasCircuito.name in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 22]
2014-05-18 18:25:06 Notice: Notice (8): Undefined index:  Section in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 22]
2014-05-18 20:06:25 Notice: Notice (8): Undefined variable: output in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 20]
2014-05-18 20:06:55 Notice: Notice (8): Undefined variable: output in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 19]
2014-05-18 20:15:43 Notice: Notice (8): Undefined variable: html in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 23]
2014-05-18 20:16:11 Notice: Notice (8): Undefined property: TreeHelper::$Html in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 23]
2014-05-18 20:21:34 Notice: Notice (8): Undefined variable: row in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-18 20:21:34 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 25]
2014-05-18 20:21:34 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-18 20:22:29 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 25]
2014-05-18 20:22:29 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-19 21:08:35 Notice: Notice (8): Undefined variable: ProgramasCircuitos in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/add.ctp, line 15]
2014-05-19 21:09:25 Notice: Notice (8): Undefined offset:  2 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 23]
2014-05-19 21:09:25 Notice: Notice (8): Undefined index:   in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 23]
2014-05-19 21:09:25 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 25]
2014-05-19 21:09:25 Notice: Notice (8): Undefined offset:  2 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 25]
2014-05-19 21:09:25 Notice: Notice (8): Undefined index:   in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 25]
2014-05-19 21:09:25 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-19 21:09:25 Notice: Notice (8): Undefined offset:  2 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-19 21:09:25 Notice: Notice (8): Undefined index:   in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-19 21:09:25 Notice: Notice (8): Undefined offset:  2 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 29]
